target,start,end,metricName,time,value
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,sample_rms,,1277.96
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,sample_unique,,11364
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,max_stalta,2020-01-03T05:00:18,13.6243
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,num_spikes,,0
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,num_gaps,,1
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,max_gap,,2.69
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,num_overlaps,,0
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,max_overlap,,0
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,percent_availability,,99.9969
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,calibration_signal,,0
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,timing_correction,,0
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,event_begin,,0
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,event_end,,0
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,event_in_progress,,0
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,clock_locked,,20755
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,amplifier_saturation,,0
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,digitizer_clipping,,0
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,spikes,,0
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,glitches,,0
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,missing_padded_data,,0
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,telemetry_sync_error,,0
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,digital_filter_charging,,0
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,suspect_time_tag,,0
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,timing_quality,,99.0105
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,sample_min,,-24209
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,sample_median,,-14134
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,sample_mean,,-14136.1
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,sample_max,,-3278
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,sample_rms,,2093.04
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,sample_unique,,17333
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,max_stalta,2020-01-03T11:34:59,18.1226
NS.BER.00.HHZ.D,2020-01-03T00:00:00,2020-01-03T23:59:59,num_spikes,,0
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,num_gaps,,1
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,max_gap,,0.22
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,num_overlaps,,0
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,max_overlap,,0
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,percent_availability,,99.9998
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,calibration_signal,,0
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,timing_correction,,0
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,event_begin,,0
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,event_end,,0
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,event_in_progress,,0
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,clock_locked,,20203
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,amplifier_saturation,,0
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,digitizer_clipping,,0
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,spikes,,0
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,glitches,,0
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,missing_padded_data,,0
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,telemetry_sync_error,,0
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,digital_filter_charging,,0
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,suspect_time_tag,,0
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,timing_quality,,99.019
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,sample_min,,-19935
